term,estimate,std.error,D,sim_scenaio
R1_K[1],1.00539925929001,0.0643731307326161,10,JPLP_sim
R1_K[2],0.210005599433007,0.0613171306778501,10,JPLP_sim
R1_K[3],0.23246998820218,0.0356192672528262,10,JPLP_sim
mu0_true,0.102115173910981,0.243193848018355,10,JPLP_sim
sigma0,0.206578105581809,0.0862693292759473,10,JPLP_sim
beta,1.29928074033997,0.0866425567352008,10,JPLP_sim
kappa,0.862119471569402,0.0561844932192186,10,JPLP_sim
R1_K[1],0.922331172021011,0.0827212913380296,10,JPLP_sim
R1_K[2],0.18781761461322,0.0491249414724254,10,JPLP_sim
R1_K[3],0.124675215942841,0.0348052464713832,10,JPLP_sim
mu0_true,0.313264417778613,0.154870205671344,10,JPLP_sim
sigma0,0.514132767886311,0.16543405121892,10,JPLP_sim
beta,1.24732896135581,0.0786203801699919,10,JPLP_sim
kappa,0.712376953046271,0.0541322276403205,10,JPLP_sim
R1_K[1],1.0056707266985,0.0943027551310674,10,JPLP_sim
R1_K[2],0.264135721876017,0.0668811859888449,10,JPLP_sim
R1_K[3],0.21706299673851,0.0479218932185594,10,JPLP_sim
mu0_true,-0.114296494101087,0.249019222482,10,JPLP_sim
sigma0,0.543882038941818,0.166156517289073,10,JPLP_sim
beta,1.19676853915432,0.0723060168324158,10,JPLP_sim
kappa,0.780054936481181,0.0458436271919619,10,JPLP_sim
R1_K[1],1.04585230957775,0.0743325352488364,10,JPLP_sim
R1_K[2],0.372563476059019,0.0600893241810859,10,JPLP_sim
R1_K[3],0.256025689328194,0.0448124669989267,10,JPLP_sim
mu0_true,-0.311360804143992,0.242139333634068,10,JPLP_sim
sigma0,0.70654991270308,0.237012577787235,10,JPLP_sim
beta,1.19322033140607,0.0856828898124666,10,JPLP_sim
kappa,0.807931191031712,0.0576025885787012,10,JPLP_sim
R1_K[1],1.13682567438118,0.111473391281319,10,JPLP_sim
R1_K[2],0.25253659712328,0.102131320521482,10,JPLP_sim
R1_K[3],0.180431310444054,0.0592923357165698,10,JPLP_sim
mu0_true,0.407975540257285,0.299224657066806,10,JPLP_sim
sigma0,0.686148474334859,0.212392449739466,10,JPLP_sim
beta,1.16872664012847,0.076021310667338,10,JPLP_sim
kappa,0.838768166921763,0.0538481184115729,10,JPLP_sim
R1_K[1],1.12442443795137,0.0934326391739592,10,JPLP_sim
R1_K[2],0.415032339919584,0.0873852789531677,10,JPLP_sim
R1_K[3],0.2087328162089,0.0516132163974785,10,JPLP_sim
mu0_true,0.159126077545385,0.282334752397074,10,JPLP_sim
sigma0,1.01554914733377,0.322530649415534,10,JPLP_sim
beta,1.22950491623391,0.0724404989949045,10,JPLP_sim
kappa,0.782785049268829,0.0516586651672527,10,JPLP_sim
R1_K[1],0.982172943150347,0.0821570273923606,10,JPLP_sim
