term,estimate,std.error,D,sim_scenaio
beta,1.00147551540207,0.0564787269065069,10,PLP_sim_for_JPLP
R1_K[1],1.27933275910537,0.101787578563898,10,PLP_sim_for_JPLP
R1_K[2],0.34141536372654,0.078727924410466,10,PLP_sim_for_JPLP
R1_K[3],0.270024378897303,0.0588661939972865,10,PLP_sim_for_JPLP
mu0_true,-0.151226867767188,0.360815247192944,10,PLP_sim_for_JPLP
sigma0,1.06853584819735,0.277983127002671,10,PLP_sim_for_JPLP
beta,0.992648920903108,0.0667229414904917,10,PLP_sim_for_JPLP
R1_K[1],1.22725262518781,0.141257517256934,10,PLP_sim_for_JPLP
R1_K[2],0.433319127404143,0.136785018450766,10,PLP_sim_for_JPLP
R1_K[3],0.319962822267124,0.0610652005570152,10,PLP_sim_for_JPLP
mu0_true,-0.162709848397551,0.449242560885159,10,PLP_sim_for_JPLP
sigma0,0.710581810226006,0.220323134576155,10,PLP_sim_for_JPLP
beta,1.15598971082258,0.0634999161021373,10,PLP_sim_for_JPLP
R1_K[1],1.0615814193866,0.0970511108350717,10,PLP_sim_for_JPLP
R1_K[2],0.267798317466395,0.105924069956063,10,PLP_sim_for_JPLP
R1_K[3],0.219630429232253,0.0413889971545657,10,PLP_sim_for_JPLP
mu0_true,0.395053499684758,0.2917050408197,10,PLP_sim_for_JPLP
sigma0,0.598571395608533,0.179480222973012,10,PLP_sim_for_JPLP
beta,1.06211526609093,0.0550774551725154,10,PLP_sim_for_JPLP
R1_K[1],1.05961490769048,0.0873675910573599,10,PLP_sim_for_JPLP
R1_K[2],0.234609554000016,0.12017509155229,10,PLP_sim_for_JPLP
R1_K[3],0.29561142162421,0.0509112409981505,10,PLP_sim_for_JPLP
mu0_true,0.254807209222112,0.272863656434982,10,PLP_sim_for_JPLP
sigma0,0.586822721853863,0.176993085409547,10,PLP_sim_for_JPLP
beta,1.04115585080985,0.0518044286682672,10,PLP_sim_for_JPLP
R1_K[1],1.15566716039637,0.0834749829676537,10,PLP_sim_for_JPLP
R1_K[2],0.356429728588726,0.0906558380822712,10,PLP_sim_for_JPLP
R1_K[3],0.22277391817143,0.0462077444617416,10,PLP_sim_for_JPLP
mu0_true,-0.0272570764882062,0.261047230236433,10,PLP_sim_for_JPLP
sigma0,0.82319867094109,0.272850970744043,10,PLP_sim_for_JPLP
beta,1.04107088935078,0.0518218124481353,10,PLP_sim_for_JPLP
R1_K[1],1.18012391246893,0.0867822372512582,10,PLP_sim_for_JPLP
R1_K[2],0.368707458676836,0.0904288001140101,10,PLP_sim_for_JPLP
R1_K[3],0.237125924054375,0.0473832976342867,10,PLP_sim_for_JPLP
mu0_true,0.159534902825061,0.319358835100623,10,PLP_sim_for_JPLP
sigma0,0.769124101992339,0.204688853845016,10,PLP_sim_for_JPLP
beta,0.968248564641033,0.050080286619728,10,PLP_sim_for_JPLP
R1_K[1],1.22370119209811,0.104936175224921,10,PLP_sim_for_JPLP
R1_K[2],0.356507613695808,0.0915862877234999,10,PLP_sim_for_JPLP
R1_K[3],0.183764430450983,0.0380973267427977,10,PLP_sim_for_JPLP
mu0_true,-0.158816320012583,0.294826359869209,10,PLP_sim_for_JPLP
sigma0,0.83946506751169,0.280557198033897,10,PLP_sim_for_JPLP
beta,0.994648673151892,0.0495809810719308,10,PLP_sim_for_JPLP
R1_K[1],1.17731603869234,0.0843983270155251,10,PLP_sim_for_JPLP
R1_K[2],0.437745247494767,0.0748475144278149,10,PLP_sim_for_JPLP
R1_K[3],0.256696150548757,0.0489189551437366,10,PLP_sim_for_JPLP
mu0_true,-0.290583933601838,0.324997873358667,10,PLP_sim_for_JPLP
sigma0,0.678852433373247,0.198559657362306,10,PLP_sim_for_JPLP
beta,1.02762194096503,0.0801167012326614,10,PLP_sim_for_JPLP
R1_K[1],1.22777976421416,0.140584833759594,10,PLP_sim_for_JPLP
R1_K[2],0.369838888489488,0.0845403276443031,10,PLP_sim_for_JPLP
R1_K[3],0.407598617644046,0.072624305829581,10,PLP_sim_for_JPLP
mu0_true,0.300252703877588,0.31007552450566,10,PLP_sim_for_JPLP
sigma0,0.836155174129931,0.264245717679435,10,PLP_sim_for_JPLP
beta,0.987651384820641,0.0365894650514485,10,PLP_sim_for_JPLP
R1_K[1],1.14792165886228,0.0652121358661464,10,PLP_sim_for_JPLP
R1_K[2],0.447689054780119,0.0829250676642251,10,PLP_sim_for_JPLP
R1_K[3],0.232557740446583,0.0355326404350031,10,PLP_sim_for_JPLP
mu0_true,0.0098050106742607,0.305942859008703,10,PLP_sim_for_JPLP
sigma0,0.65123603409102,0.202832079771589,10,PLP_sim_for_JPLP
beta,1.07240413402138,0.0577505063303864,10,PLP_sim_for_JPLP
R1_K[1],1.11867436041979,0.0867724387253085,10,PLP_sim_for_JPLP
R1_K[2],0.187338262125228,0.0866741374775357,10,PLP_sim_for_JPLP
R1_K[3],0.179352622228906,0.0398046521658168,10,PLP_sim_for_JPLP
mu0_true,0.482491983916236,0.273137598947206,10,PLP_sim_for_JPLP
sigma0,0.699847057692735,0.21536247839641,10,PLP_sim_for_JPLP
beta,0.981908661099526,0.0524300962042573,10,PLP_sim_for_JPLP
R1_K[1],1.44593649015981,0.108604195887957,10,PLP_sim_for_JPLP
R1_K[2],0.255001059816837,0.0899992668124912,10,PLP_sim_for_JPLP
R1_K[3],0.298752250979058,0.0562028190091187,10,PLP_sim_for_JPLP
mu0_true,0.104141931241852,0.312239234889413,10,PLP_sim_for_JPLP
sigma0,0.921141541867968,0.259582260175999,10,PLP_sim_for_JPLP
