term,estimate,std.error,D,sim_scenaio
R1_K[3],0.164636599488824,0.0411982208267134,10,PLP_sim
mu0_true,0.310426523051494,0.214737895550106,10,PLP_sim
sigma0,0.779722883395735,0.211416143666182,10,PLP_sim
beta,1.19392899377897,0.0540338080890046,10,PLP_sim
R1_K[1],0.970149361469491,0.0717673759983737,10,PLP_sim
R1_K[2],0.313429932262331,0.0561950206770872,10,PLP_sim
R1_K[3],0.192054607793418,0.0383183724518091,10,PLP_sim
mu0_true,0.312723611241276,0.275686306457806,10,PLP_sim
sigma0,0.647007490846885,0.204243772955793,10,PLP_sim
beta,1.1749377825505,0.0428108211767785,10,PLP_sim
R1_K[1],0.997250870217839,0.057031921986449,10,PLP_sim
R1_K[2],0.323776272535954,0.0860187320907751,10,PLP_sim
R1_K[3],0.121635864048744,0.0615625350479065,10,PLP_sim
mu0_true,0.416591207661689,0.260618545225039,10,PLP_sim
sigma0,0.325087318625418,0.116446467128835,10,PLP_sim
beta,1.21257644548107,0.0551354127487384,10,PLP_sim
R1_K[1],1.01196424146404,0.0690367697251554,10,PLP_sim
R1_K[2],0.290011220646195,0.0850465357249094,10,PLP_sim
R1_K[3],0.148775172262345,0.0309649540893211,10,PLP_sim
mu0_true,0.106053883235547,0.174810663816658,10,PLP_sim
sigma0,0.641646963753939,0.189812227293168,10,PLP_sim
beta,1.17443045404402,0.0551564486921903,10,PLP_sim
R1_K[1],1.01351728781294,0.0643171953807977,10,PLP_sim
R1_K[2],0.365034847424596,0.0495928101684259,10,PLP_sim
R1_K[3],0.285527607375462,0.0371184491452243,10,PLP_sim
mu0_true,0.110946496228282,0.250057030753146,10,PLP_sim
sigma0,0.677857666385218,0.169877787459576,10,PLP_sim
beta,1.18316763498391,0.0476752643673326,10,PLP_sim
R1_K[1],1.02875437034357,0.0638565199946646,10,PLP_sim
R1_K[2],0.248556735515656,0.0535957081149918,10,PLP_sim
R1_K[3],0.166612605662422,0.0347554041825319,10,PLP_sim
